[⿰忄厥]丁	撅丁
底死	抵死
底裏	底（四）
底（一）	底（一）
底（三）	底（三）
底（二）	底（二）
底（五）	底（五）
底（四）	底（四）
廝	廝
廝勾	廝句
廝句	廝句
廝够	廝句
廣張四至	大廝八
弟兄	弟兄
弟子	弟子
弟子孩兒	弟子孩兒
強會	強會
彆	鼈
彈剝	包彈
彈包	包彈
彎不剌	不剌（二）
彘子孩兒	弟子孩兒
彩	采
役	役
彼各	彼各
待剛	大古（一）
待古	大古（二）
待都來	都來
待（一）	待（一）
待（二）	待（二）
後	後
得	得得
得得	得得
得能	能（一）
得這	這
得（一）	得（一）
得（二）	得（二）
從	從
徵本	正本
心骨	骨
必	必
必竟	畢竟
忔憎	可憎
忔憎憎	可憎
忔戲	可喜
快（一）	快（一）
快（二）	快（二）
念	念
怎向	向（二）
怎奈向	向（二）
怎生	怎生
怎生向	向（二）
怎許	許（二）
怏	怏
怕（一）	怕（一）
怕（二）	怕（二）
怪來	怪底（二）
怪底（一）	怪底（一）
怪底（二）	怪底（二）
怪得	怪底（二）
恇	恇
悄	誚
情取	情取
情受	情受
惜	惜
惜恐	惜
惡	惡
惡叉白賴	惡叉白賴
惡茶白賴	惡叉白賴
惱	惱
惹	惹
意掙	癡掙
愧	慚愧
慕古	慕古
慚	慚愧
慚愧	慚愧
慢	漫（一）
慣	慣
憋	鼈
憑	憑
應昂	應昂
應（一）	應（一）
應（二）	應（二）
懣	懣
所	所
所事	所事
所是	所事
所爲	所爲
才	纔
打當	打當
抄手	叉手
把似	把似
把作	把做
把做	把做
把背	巴鼻
投	投
投到	投
投得	投
投至	投
投至得	投
投至的	投
折	折
折摸	遮莫（一）
折末	遮莫（二）
折莫	遮莫（四）
折證	正本
折麽	遮莫（一）
抵	抵
抵多少	抵多少
抵死	抵死
拆白道字	拆白道字
拌	判
拖逗	逗（五）
拖鬭	鬭（一）
拚	判
挑逗	逗（五）
挑鬭	鬭（一）
捋	捋
掇送	掇送
掙	癡掙
掙本	正本
探（一）	探（一）
探（二）	探（二）
插手	叉手
揣	囊揣
搊	㑳
搊扎	㥮
搊搜	㥮
搊殺	㥮
搊颼	㥮
損	損
搶	撑達
摘離	摘離
摩	麽（二）
撅丁	撅丁
撋就	撋就
撑	撑達
撑達	撑達
撒和	撒和
撩丁	夢撒撩丁
擔饒	饒（二）
擡頦	台孩
攙	攙
攛廂	攛廂
攛掇	攛斷（一）
攛斷（一）	攛斷（一）
攛斷（二）	攛斷（二）
攛箱	攛廂
攛頓	攛斷（一）
攧窨	攧窨
攧𡩘	攧窨
放敎	放（一）
放（一）	放（一）
放（三）	放（三）
放（二）	放（二）
故家	舊家
故故	故（四）
故（一）	故（一）
故（三）	故（三）
故（二）	故（二）
故（四）	故（四）
敍言	敍言
敎（一）	敎（一）
敎（二）	敎（二）
敢則	敢則是
敢則是	敢則是
敢只是	敢則是
敢（一）	敢（一）
敢（三）	敢（三）
敢（二）	敢（二）
敵頭	頭抵
斗	斗
料理	料理
斷	斷送（二）
斷當	斷當
斷送（一）	斷送（一）
斷送（三）	斷送（三）
斷送（二）	斷送（二）
斷送（五）	斷送（五）
斷送（四）	斷送（四）
方頭不劣	方頭不劣
方頭不律	方頭不劣
旋旋	旋旋
旋（一）	旋（一）
旋（三）	旋（三）
旋（二）	旋（二）
旋（五）	旋（五）
